0,1,2,3,4,brand,model,trim,body_type,fuel_type,transmission_type,engine_capacity_cc,horsepower,exterior_color,interior_color,warranty,city,seller_type,price
2.178152314219394,-15.183708407905938,1.1044648269565993,8.50943180955268,-1.9156575915379463,Mazda,CX-9,GT,SUV,Petrol,Automatic Transmission,2500 - 2999 cc,200 - 299 HP,White,Black,No,Dubai,Owner,76000
2.2361490679122658,-2.6269733301366243,1.9552794307889672,13.250045960029045,-1.8666721651397102,Dodge,Durango,Crew Plus,SUV,Petrol,Automatic Transmission,3500 - 3999 cc,200 - 299 HP,Blue,Black,No,Dubai,Dealer,36900
2.161884850848646,-16.527457974962886,0.2949363043937532,1.3714656107694763,,Volkswagen,Tiguan,R-line,SUV,Petrol,Automatic Transmission,2000 - 2499 cc,200 - 299 HP,Blue,Unknown,Yes,Dubai,Dealer,159990
2.202670806938696,36.92434407212061,1.043561576234606,0.8060922741005105,-2.100003049034335,Maserati,GranTurismo,Sport Special Edition,Coupe,Petrol,Automatic Transmission,4000+ cc,400 - 499 HP,Grey,Beige,No,Dubai,Owner,248000
2.2020513215138413,3.8481383876996382,0.7548724416368215,8.745421650289149,-1.8564184562510635,Ford,Explorer,XLT,SUV,Petrol,Automatic Transmission,2500 - 2999 cc,300 - 399 HP,Black,Brown,Yes,Dubai,Dealer,63000
2.227375273977229,,4.901516523439453,2.449775249683335,-1.9222792126832042,Lexus,LS-Series,Full Option (short),Sedan,Petrol,Automatic Transmission,4000+ cc,300 - 399 HP,Silver,Black,Does not apply,Abu Dhabi,Dealer,37000
2.215724722672114,-35.42233064242011,0.5936995896121035,2.6197454650647107,-1.8530136362074652,Nissan,Altima,SV,Sedan,Petrol,Automatic Transmission,2000 - 2499 cc,200 - 299 HP,Grey,Beige,No,Dubai,Owner,41000
2.192577387277681,-18.530826689250432,0.9259458737156344,1.5540723895593032,-1.9619403312376202,Nissan,X-Trail,S,SUV,Petrol,Automatic Transmission,2000 - 2499 cc,200 - 299 HP,Silver,Beige,No,Dubai,Dealer,57000
2.211654327943126,-20.00375327461247,3.0844533929771445,2.769627887128794,-1.9619781334386799,Kia,Picanto,Other,Hatchback,Petrol,Automatic Transmission,,Unknown,White,Beige,Does not apply,Dubai,Owner,13500
2.2554837622256834,7.732993047926071,4.245497130599391,0.11700351775318435,-1.939983753408408,Audi,A8,L,Sedan,Petrol,Automatic Transmission,,300 - 399 HP,White,Brown,No,Dubai,Owner,20000
2.167043767921086,11.04851991283926,0.5665718935856775,1.9602126754996656,-1.9277605312187307,Lexus,IS350,Other,Sedan,Petrol,Automatic Transmission,3500 - 3999 cc,300 - 399 HP,Silver,Black,No,Ajman,Dealer,138000
2.2300904921022244,-4.68664533612502,5.242338813209748,,-2.0133759612107407,Honda,Accord,V6 Sport,Coupe,Petrol,Automatic Transmission,3000 - 3499 cc,Unknown,Silver,Other Color,Does not apply,Dubai,Owner,29500
2.190203892976724,-19.52900816198965,0.6277448129994226,2.007554964469122,-1.8996361384803457,Nissan,Kicks,Other,SUV,Petrol,Automatic Transmission,1500 - 1999 cc,100 - 199 HP,Blue,Other Color,No,Dubai,Owner,43000
2.186667810495599,-28.057726854986896,1.0659120773356177,2.1553309701815064,-1.8912609592118221,Honda,City,Other,Sedan,Petrol,Automatic Transmission,1500 - 1999 cc,100 - 199 HP,Black,Beige,No,Dubai,Dealer,47900
2.195671189651942,-0.9045063444718717,1.4557521185523579,4.14960703188121,-1.9619523764002298,Jaguar,XE,S,Sedan,Petrol,Automatic Transmission,3000 - 3499 cc,300 - 399 HP,Blue,Unknown,No,Dubai,Dealer,69000
2.195092335917325,-26.68891991229622,0.5648083441345064,1.9764945275775103,-1.9378584705131146,Ford,Ecosport,Titanium,SUV,Petrol,Automatic Transmission,1500 - 1999 cc,100 - 199 HP,Silver,Beige,No,Dubai,Owner,38000
2.172138628484467,8.11663348086484,0.2393798859701724,1.4473600779669042,-1.9517071159205244,Land Rover,Defender,110 X,SUV,Petrol,Automatic Transmission,4000+ cc,400 - 499 HP,Black,Unknown,Yes,Dubai,Dealer,393000
2.2091943035487644,,15446.677829421304,1.6217048083947492,-2.0004193842887115,Kia,Optima,LX,Sedan,Petrol,Automatic Transmission,1500 - 1999 cc,200 - 299 HP,White,Beige,Yes,Dubai,Owner,24500
2.16807895410566,-60.810551330723925,0.7611413225573895,0.15896205778410824,-1.8862390196612506,Rolls-Royce,Cullinan,Other,SUV,Petrol,Automatic Transmission,,Unknown,Blue,White,Does not apply,Dubai,Dealer,2399
2.200532974473883,-13.350728139558855,1.9564393695094175,4.144439434535655,-1.9144255900102018,Lexus,IS350,Other,Sedan,Petrol,Automatic Transmission,3500 - 3999 cc,300 - 399 HP,Grey,Unknown,Yes,Dubai,Dealer,115000
2.2099741955700916,,,1.9630290860502957,-1.9298724407855876,Toyota,Corolla,SE+,Other,Petrol,Automatic Transmission,1500 - 1999 cc,100 - 199 HP,White,Beige,No,Dubai,Owner,38000
2.1684125111337584,-22.566403011771847,0.4547420611016669,2.036734820006651,-1.898046009500169,Mercedes-Benz,E-Class,E 350,Sedan,Petrol,Automatic Transmission,1500 - 1999 cc,200 - 299 HP,Grey,Brown,No,Dubai,Owner,115000
2.178871395875534,5.605039717207236,0.7701671794815111,0.14875912764421673,,Toyota,Prado,GXR,SUV,Petrol,Automatic Transmission,,600 - 699 HP,White,Beige,Yes,Abu Dhabi,Owner,153000
2.161466791368345,,0.4931555735833716,2.7035938661805323,-1.9676440755243894,Dodge,Ram,TRX,Pick Up Truck,Petrol,Automatic Transmission,Unknown,700 - 799 HP,Black,Black,Yes,Dubai,Dealer,515000
2.1846882548680617,-29.649072743767498,0.6371979765406368,,-1.9203690348250047,Mercedes-Benz,A-Class,AMG A 35,Hatchback,Petrol,Automatic Transmission,2000 - 2499 cc,300 - 399 HP,White,Black,Does not apply,Dubai,Owner,139000
2.198914600430168,-17.295115679563075,5.528020515215437,1.2360104307346236,-2.08165260262523,Ford,Mustang,Ecoboost Premium,Coupe,Petrol,Manual Transmission,2000 - 2499 cc,300 - 399 HP,Grey,Black,No,Abu Dhabi,Dealer,47000
,-37.27063939704793,1.0656830180784247,2.8737303492954784,-1.8772675156286038,MINI,Cooper,S,Hatchback,Petrol,Automatic Transmission,1500 - 1999 cc,100 - 199 HP,Red,Unknown,No,Dubai,Dealer,44900
2.2286733090338737,23.633862215429218,3.81243470352732,24.79534371104099,-1.8928381688105893,Nissan,Armada,LE,SUV,Petrol,Automatic Transmission,4000+ cc,300 - 399 HP,Grey,Black,No,Ajman,Dealer,36900
,27.70076026094486,0.2020390046785741,4.101318327933046,-1.8589656124256841,Land Rover,Range Rover,Autobiography,SUV,Petrol,Automatic Transmission,4000+ cc,500 - 599 HP,Gold,Beige,No,Dubai,Dealer,924000
2.1967100067254046,-28.575022095776234,1.3793178768023282,3.025745235628383,-1.899577429458619,Nissan,Sentra,S,Sedan,Petrol,Automatic Transmission,1500 - 1999 cc,100 - 199 HP,Brown,Beige,Yes,Sharjah,Dealer,39499
2.1861648737397363,85.4723409822172,,0.3372446330153014,-2.128023630432902,Ferrari,812 GTS,Other,Hard Top Convertible,Petrol,Automatic Transmission,4000+ cc,700 - 799 HP,Gold,Tan,No,Dubai,Dealer,2050
,-4.774074372085665,0.8880058158439395,6.871618854162713,-1.9343519546638754,Audi,Q7,Standard,SUV,Petrol,Automatic Transmission,,300 - 399 HP,White,Brown,No,Dubai,Owner,119900
2.2168488222028575,-11.201605905128725,2.524739561225063,5.130040710191485,-1.845475340104596,Kia,Carnival,EX,Van,Petrol,Automatic Transmission,2000 - 2499 cc,200 - 299 HP,Silver,Unknown,No,Abu Dhabi,Dealer,23000
2.213560029332555,-22.7242690560567,2.375569418027301,,-1.857781450908648,Land Rover,Range Rover Evoque,Other,SUV,Petrol,Automatic Transmission,2000 - 2499 cc,200 - 299 HP,White,Black,No,Dubai,Dealer,60000
2.1615903475135037,9.593193266364446,0.41724103873633944,2.5623979763309075,-1.9237354643338527,Jeep,Wrangler,Sport,SUV,Petrol,Automatic Transmission,3000 - 3499 cc,200 - 299 HP,White,Black,Yes,Dubai,Dealer,185000
2.2242126024906677,-39.16313489616529,1.6764584886208413,2.366319117765139,-1.8285958783587208,Volvo,XC60,Other,SUV,Petrol,Automatic Transmission,2000 - 2499 cc,200 - 299 HP,Grey,Black,No,Dubai,Dealer,32000
2.163375693008312,7.994341893181513,,2.1201513934908593,-1.8892239443737204,Porsche,Cayenne,Other,SUV,Petrol,Automatic Transmission,,400 - 499 HP,White,White,Yes,Dubai,Dealer,499000
2.1795894214328224,-18.604056306602985,,3.7620645475967174,-1.9449537357939348,Infiniti,Q30,Sport,Hatchback,Petrol,Automatic Transmission,2000 - 2499 cc,200 - 299 HP,Other Color,Black,No,Sharjah,Dealer,49000
2.189861524496437,22.745184325197258,0.6718257185486817,11.783309247553664,,Lexus,LX570,Signature,SUV,Petrol,Automatic Transmission,3500 - 3999 cc,500 - 599 HP,White,Unknown,Does not apply,Sharjah,Dealer,275000
2.2253411659742452,-25.608453905570542,2.077103501732773,2.4174204310719665,-1.8972692546954093,Chevrolet,Malibu,Other,Sedan,Petrol,Automatic Transmission,2000 - 2499 cc,100 - 199 HP,Brown,Beige,No,Dubai,Dealer,22900
2.1659149623646385,-14.366390791441804,0.96380945364098,2.50688919235364,-1.950816362575475,Mercedes-Benz,CLA,CLA250,Sedan,Petrol,Automatic Transmission,2500 - 2999 cc,200 - 299 HP,Black,Black,Yes,Sharjah,Dealer,129000
2.21200093331897,-31.756670134796387,1.683782288769117,3.627256735524601,-1.9196677131488749,Hyundai,Sonata,SE,Coupe,Petrol,Automatic Transmission,2000 - 2499 cc,Unknown,Other Color,Beige,Yes,Dubai,Owner,24500
,-31.027939209237346,2.885360202596368,,-1.9123185847584154,Toyota,Corolla,XLI,Sedan,Petrol,Automatic Transmission,0 - 499 cc,100 - 199 HP,White,Beige,No,Dubai,Owner,21000
2.2034128071842294,-17.153552814331267,1.4069714911243023,3.6909645330466483,-1.859252753768363,BMW,X5,xDrive35i,SUV,Petrol,Automatic Transmission,3000 - 3499 cc,300 - 399 HP,Black,Brown,Yes,Dubai,Dealer,99900
2.1498773491047083,23.926546763558846,0.5892720870708839,1.6031295589724146,-2.1286533760042063,Porsche,Carrera / 911,Turbo,Coupe,Petrol,Automatic Transmission,,600 - 699 HP,White,Unknown,Yes,Dubai,Dealer,879000
2.2262218912025853,11.893288814613008,1.0734531084606698,,,Mercedes-Benz,CLS-Class,CLS 63 AMG,Sedan,Petrol,Automatic Transmission,500 - 999 cc,600 - 699 HP,Silver,Black,Does not apply,Dubai,Dealer,89000
2.2126131043723327,8.205061426209136,1.1886665232289733,4.052749702067927,-1.9210928770340192,Mercedes-Benz,G-Class,G 63 AMG,Wagon,Petrol,Automatic Transmission,4000+ cc,500 - 599 HP,White,Unknown,Does not apply,Dubai,Owner,228000
2.1793057472979505,,0.712802651288378,,-2.0972876424901936,Mercedes-Benz,SL-Class,SL 63 AMG,Hard Top Convertible,Petrol,Automatic Transmission,Unknown,500 - 599 HP,Brown,Black,Yes,Dubai,Owner,650000
2.204147557408717,,2.593166334720019,2.1748848615520173,-1.8836012503061565,Land Rover,Range Rover Evoque,Dynamic,SUV,Petrol,Automatic Transmission,2000 - 2499 cc,200 - 299 HP,White,Beige,No,Dubai,Owner,55000
2.1580691712320967,-12.251849756725235,0.32961630234332084,,-1.8465725526612877,Kia,Carnival,Grand Carnival,Van,Petrol,Automatic Transmission,3000 - 3499 cc,300 - 399 HP,Black,Unknown,Does not apply,Dubai,Dealer,179000
,11.005507192597666,0.5356529977355631,1.6916353454956874,-1.8336692778468549,Land Rover,Range Rover Sport,Supercharged,SUV,Petrol,Automatic Transmission,4000+ cc,500 - 599 HP,Black,Brown,No,Dubai,Dealer,134900
2.2123220433133985,-16.13179622975255,0.7617034522339377,0.25484545604792,-2.052089599531977,Audi,TT,S-Line,Soft Top Convertible,Petrol,Automatic Transmission,2000 - 2499 cc,200 - 299 HP,Black,Tan,Yes,Dubai,Owner,125500
2.1552720939538093,35.57004452143321,0.2165123900027998,22.256707899874154,-1.9615100674286836,Mercedes-Benz,GLS-Class,GLS 580,SUV,Petrol,Automatic Transmission,4000+ cc,500 - 599 HP,White,Black,Yes,Dubai,Dealer,445000
2.193361057862722,-19.078917583530696,0.469931174408855,1.5876902595158284,-1.924764151337642,Mitsubishi,ASX,Other,SUV,Petrol,Automatic Transmission,,Unknown,Black,Beige,No,Abu Dhabi,Owner,43000
2.1795989238213758,-13.816040902821817,1.2079536773183812,1.8984550720719215,-1.9007948086888413,Ford,Edge,SEL,SUV,Petrol,Automatic Transmission,2000 - 2499 cc,200 - 299 HP,White,Beige,Yes,Dubai,Dealer,64500
2.1987436154046076,-31.742072962943247,0.9938826433984737,3.0890685834249854,-1.9136748787393556,Hyundai,Sonata,SE,Sedan,Petrol,Automatic Transmission,2000 - 2499 cc,Unknown,Black,Beige,No,Sharjah,Dealer,35000
2.1891316639959753,-19.147869315022696,3.522157044432516,0.10166708672517294,-1.839575942441856,Toyota,Previa,S,SUV,Petrol,Automatic Transmission,,Unknown,White,Brown,No,Dubai,Owner,45000
2.1674766914322054,,0.27733104951664045,2.7955162096655943,-1.8490300091167042,Exeed,TXL,Other,SUV,Petrol,Automatic Transmission,2000 - 2499 cc,200 - 299 HP,Silver,Tan,Yes,Dubai,Dealer,125000
2.18086068968915,27.25263016235658,0.30939975740710807,0.13515507215417988,-1.9411334879247086,Lamborghini,Urus,Standard,SUV,Petrol,Automatic Transmission,,,Grey,Other Color,Yes,Dubai,Dealership/Certified Pre-Owned,1190
2.1718964323257293,81.20453844591567,0.6336671657445454,2.1287291167212525,-2.1438458507116724,Bentley,Continental,GT,Coupe,Petrol,Automatic Transmission,4000+ cc,600 - 699 HP,Grey,Other Color,Does not apply,Dubai,Owner,699000
2.2260380780420688,-14.447979712272346,2.439268990347867,1.8820907583840552,-1.8453513526257734,Volkswagen,Touareg,Other,SUV,Petrol,Automatic Transmission,3500 - 3999 cc,200 - 299 HP,White,Brown,No,Dubai,Dealer,39500
2.1790482956610417,13.264897882874372,0.5130323839235583,5.791666515154249,-1.928803069963564,Lexus,LX-Series,Sport Platinum,SUV,Petrol,Automatic Transmission,,400 - 499 HP,Gold,Unknown,Yes,Dubai,Dealer,368000
2.174383332296066,7.495630451602258,0.36143072592252923,28.4532295383345,-1.8376907589816711,Nissan,Patrol,LE Titanium,SUV,Petrol,Automatic Transmission,4000+ cc,400 - 499 HP,Beige,Unknown,Yes,Dubai,Dealer,246900
